user_pseudo_id,day_0
23FAC29643A04A0CFB78B303768B0E2D,2018-10-03
611EB5EF1A47091A14D6B721F9AF3B82,2018-10-03
0336A697B59EAD3A824C27BE4523C5D9,2018-10-03
A52044D72FBD4D667F7E800DECD85554,2018-10-03
67ACBBE2B2AF1E5B1A94D33F2BCF101A,2018-10-03
266FCFC7EECB81B11D769F3FF4379574,2018-07-11
5F5E581687D0D81C399A149127A4B38D,2018-07-11
4A34E51E87F26D5BD3AD860E1175BBF3,2018-07-11
316C65000A6DC054CDBDFF5123898C68,2018-07-11
ACF7FC6FB1F1BA325C085F3E450B29C1,2018-07-11
36FA4DB087C63BE79675F8B8CB1CB65B,2018-07-11
E1CA3A181B0EBFCF0E8DA26EBEF7DFC6,2018-08-06
F1958B6FC5B2EB0E81883F1FB5B12CFF,2018-08-06
F314B55E64BF801420642F189A3F408A,2018-08-06
17525F1BE9060CC23A8D0A2CC76C439C,2018-08-06
CD01F4303762913133BB78B2ED5738DB,2018-08-06
6F17905FFFFA8A83CD073C38350EFD1F,2018-08-14
9D583E94D129E45FD88BB9CD4B0F4D26,2018-08-14
2B38130AF309DC84605BF6658EC03470,2018-08-14
22758EB02AC5EADF2CB2F8533D85603A,2018-07-23
33EE200629C0F5409E179BCB40630135,2018-07-23
E41F819718B0E2C49D347493BFACA027,2018-07-23
FB1F87054CBD0625890297427AAAD990,2018-07-23
A5578B0E3870754C96A0090E496D70B7,2018-07-23
5F72C8757B169882D52BFBC7CDE1B9EC,2018-07-23
0F668D1FE72425834C6A5EE9F4F53BCD,2018-07-23
54A8BB4F71F119C107273BE0A5798D54,2018-07-23
BE16FF7FC44EBB2C18B28114FEDD894A,2018-07-08
5D53102B0F6AAA96D3FC1C0633890970,2018-08-11
AF94FD18EF5B685BF3B55F7D588CA1C0,2018-08-11
1DBCC601E562D991D4B4A7D73207ED9D,2018-08-11
A4BFCCB53F281F5CD906CBBF45899DA9,2018-09-24
9D92F586E92924C8746D5E6E5444C4F0,2018-09-24
C1F519708675990E7A5FC68A65396327,2018-09-24
E5A193B43389E926CF6260D7B25FA1D4,2018-09-24
99C532E3C3875B528AFF60A995C8197D,2018-08-07
D27DC40C8987743C4BAEFC5C7EDA0B95,2018-08-07
8FE3582D9BA2520A7DBE106334280C58,2018-08-07
F7292D95AC282F0F0B7E82EDED18F599,2018-08-07
79F6D4E6174818E127A589E96D3BB371,2018-08-07
9099AAA376C3F86DA1203D34C5110326,2018-07-24
1555D5BD0FDDBD14C0697B646BF3091E,2018-07-24
7A3A20ED131AB674321A955B40644B7A,2018-08-05
239B36D8ED2161D10687A09C0EF34477,2018-08-05
52FD02951B8655BDEDFEBC6BEDD1B311,2018-08-05
861BBAD13EE77E566FAAD13B2D2D105B,2018-09-08
95B822BEFE16968B26474ECD045F731D,2018-09-08
EB24430B2FB416631BED272F1693A0C7,2018-09-08
CF8F91E78DE1AB9EC8865DA0EF7C18AF,2018-07-17
D070996B417D3DD0E6429A11FA4C5AB1,2018-07-17
93ABDBDD5D7852AE62B0448B1B5E73AB,2018-08-30
AFDD4D9A11CDD36BB20222F82D62123F,2018-08-30
626BF302515BA20D1C32C1CA5C23D8D8,2018-08-30
45DDBDCB91943B65C9B84920C0B3BE66,2018-08-30
17A6B18F52178D4C258DEDC5CDB93F3E,2018-08-30
44E92076C1E351471915CC98615610DA,2018-08-30
67B8B95A535E5340A63E0687F85DCC06,2018-07-16
01FEECF41B9535FCB85A07D413D8E47C,2018-07-16
171D51E3C6C81C7DD14E5AEC9A37FFC2,2018-07-16
B16552FBC83FC078EF2BE57040A473F8,2018-07-16
217E5A7D5E555C39FC191966D90AA67C,2018-09-18
