period,window_group,event_name,n_events,n_users
20180621,pre_window,use_extra_steps,33,11
20180621,pre_window,level_start_quickplay,4320,270
20180621,pre_window,screen_view,17562,327
20180621,pre_window,level_end_quickplay,2652,240
20180621,pre_window,select_content,842,288
20180621,pre_window,level_retry_quickplay,176,63
20180621,in_window,level_retry_quickplay,20,6
20180621,pre_window,level_start,366,53
20180621,in_window,level_end_quickplay,84,21
20180621,pre_window,level_complete,159,27
20180621,pre_window,level_reset,45,12
20180621,pre_window,user_engagement,9786,333
20180621,pre_window,level_complete_quickplay,1510,214
20180621,pre_window,level_end,243,44
20180621,in_window,level_end,322,26
20180621,in_window,level_retry,307,23
20180621,pre_window,level_retry,214,35
20180621,pre_window,level_fail_quickplay,1142,145
20180621,in_window,level_start_quickplay,180,36
20180621,pre_window,os_update,19,19
20180621,pre_window,challenge_a_friend,2,1
20180621,in_window,screen_view,2686,54
20180621,in_window,spend_virtual_currency,61,13
20180621,in_window,app_remove,13,13
20180621,pre_window,level_reset_quickplay,1184,52
20180621,in_window,completed_5_levels,14,12
20180621,in_window,select_content,155,48
20180621,in_window,level_up,220,24
20180621,pre_window,app_remove,19,19
20180621,in_window,user_engagement,1763,56
20180621,in_window,level_complete,208,20
20180621,in_window,level_start,398,29
20180621,in_window,level_complete_quickplay,41,13
20180621,in_window,use_extra_steps,48,9
20180621,pre_window,level_up,172,30
20180621,in_window,post_score,261,31
20180621,in_window,level_fail_quickplay,43,15
20180621,pre_window,app_exception,46,14
20180621,pre_window,level_fail,71,27
20180621,in_window,session_start,63,49
20180621,in_window,level_reset_quickplay,57,21
20180621,pre_window,app_update,9,9
20180621,pre_window,error,5,4
20180621,in_window,firebase_campaign,62,31
20180621,in_window,first_open,38,38
20180620,pre_window,level_complete_quickplay,1534,198
20180620,pre_window,screen_view,18921,323
20180620,pre_window,user_engagement,10445,328
20180620,pre_window,select_content,876,283
20180620,pre_window,level_up,124,35
20180620,pre_window,session_start,470,305
